iso_code,date,unemployment_rate_idx
PAK,2021-02-05,1.0779999999999996
PAK,2021-02-06,1.0787777777777774
PAK,2021-02-07,1.0795555555555552
PAK,2021-02-08,1.080333333333333
PAK,2021-02-09,1.0811111111111107
PAK,2021-02-10,1.0818888888888885
PAK,2021-02-11,1.0826666666666662
PAK,2021-02-12,1.083444444444444
PAK,2021-02-13,1.0842222222222218
PAK,2021-02-14,1.0849999999999995
PAK,2021-02-15,1.0857777777777773
PAK,2021-02-16,1.086555555555555
PAK,2021-02-17,1.0873333333333328
PAK,2021-02-18,1.0881111111111106
PAK,2021-02-19,1.0888888888888884
PAK,2021-02-20,1.0896666666666661
PAK,2021-02-21,1.0904444444444439
PAK,2021-02-22,1.0912222222222216
PAK,2021-02-23,1.0919999999999994
PAK,2021-02-24,1.0927777777777772
PAK,2021-02-25,1.093555555555555
PAK,2021-02-26,1.0943333333333327
PAK,2021-02-27,1.0951111111111105
PAK,2021-02-28,1.0958888888888882
PAK,2021-03-01,1.096666666666666
PAK,2021-03-02,1.0974444444444438
PAK,2021-03-03,1.0982222222222215
PAK,2021-03-04,1.0989999999999993
PAK,2021-03-05,1.099777777777777
PAK,2021-03-06,1.1005555555555548
PAK,2021-03-07,1.1013333333333326
PAK,2021-03-08,1.1021111111111104
PAK,2021-03-09,1.1028888888888884
PAK,2021-03-10,1.1036666666666661
PAK,2021-03-11,1.104444444444444
PAK,2021-03-12,1.1052222222222217
PAK,2021-03-13,1.1059999999999994
PAK,2021-03-14,1.1067777777777772
PAK,2021-03-15,1.107555555555555
PAK,2021-03-16,1.1083333333333327
PAK,2021-03-17,1.1091111111111105
PAK,2021-03-18,1.1098888888888883
PAK,2021-03-19,1.110666666666666
PAK,2021-03-20,1.1114444444444438
PAK,2021-03-21,1.1122222222222216
PAK,2021-03-22,1.1129999999999993
PAK,2021-03-23,1.113777777777777
PAK,2021-03-24,1.1145555555555549
PAK,2021-03-25,1.1153333333333326
PAK,2021-03-26,1.1161111111111104
PAK,2021-03-27,1.1168888888888882
PAK,2021-03-28,1.117666666666666
PAK,2021-03-29,1.1184444444444437
PAK,2021-03-30,1.1192222222222215
PAK,2021-03-31,1.1199999999999992
PAK,2021-04-01,1.1205494505494498
PAK,2021-04-02,1.1210989010989003
PAK,2021-04-03,1.1216483516483509
PAK,2021-04-04,1.1221978021978014
PAK,2021-04-05,1.122747252747252
PAK,2021-04-06,1.1232967032967025
PAK,2021-04-07,1.123846153846153
PAK,2021-04-08,1.1243956043956036
PAK,2021-04-09,1.1249450549450541
PAK,2021-04-10,1.1254945054945047
